date,day_of_week,students,meals_prepared,meals_sold,previous_waste_kg,rain,holiday,exam_day,special_event,temperature,food_waste_kg
2021-01-01,Friday,252,70,51,3.57,1,1,0,0,28.3,5.82
2021-01-02,Saturday,585,582,554,6.04,0,0,1,0,32.9,3.4
2021-01-03,Sunday,420,404,377,4.61,0,0,0,0,27.8,2.49
2021-01-04,Monday,256,263,240,4.95,0,0,0,0,20.1,4.96
2021-01-05,Tuesday,221,203,180,4.07,1,0,0,0,28.0,5.35
2021-01-06,Wednesday,170,55,46,6.34,0,1,0,0,32.7,3.87
2021-01-07,Thursday,764,712,663,4.31,0,0,0,0,35.8,2.48
2021-01-08,Friday,271,256,248,4.16,0,0,0,0,30.4,2.73
2021-01-09,Saturday,616,614,579,4.87,0,0,0,0,21.6,3.36
2021-01-10,Sunday,364,349,300,6.52,0,0,0,0,27.0,3.26
2021-01-11,Monday,480,467,391,7.28,0,0,0,0,31.4,6.96
2021-01-12,Tuesday,608,616,564,5.28,0,0,0,0,33.3,2.59
2021-01-13,Wednesday,237,243,221,4.39,0,0,0,0,31.5,0.5
2021-01-14,Thursday,522,504,456,6.05,0,0,0,0,27.7,1.15
2021-01-15,Friday,249,78,69,4.14,1,1,0,0,33.3,3.55
2021-01-16,Saturday,280,234,230,5.35,1,0,0,0,25.8,5.12
2021-01-17,Sunday,458,516,459,5.98,1,0,0,0,29.9,7.04
2021-01-18,Monday,493,523,469,3.49,1,0,0,1,32.7,5.33
2021-01-19,Tuesday,641,195,189,3.13,0,1,1,0,31.9,4.08
2021-01-20,Wednesday,563,528,498,3.35,0,0,1,0,32.0,3.16
2021-01-21,Thursday,535,577,518,4.89,0,0,0,0,31.9,7.29
2021-01-22,Friday,341,379,331,4.56,1,0,1,0,23.8,7.35
2021-01-23,Saturday,426,457,407,3.63,1,0,0,0,29.1,5.19
2021-01-24,Sunday,310,352,309,1.0,0,0,0,1,24.5,2.93
2021-01-25,Monday,609,597,544,8.07,0,0,0,0,27.6,3.88
2021-01-26,Tuesday,463,512,455,4.76,0,0,0,0,23.2,5.55
2021-01-27,Wednesday,171,176,171,1.0,1,0,0,1,30.7,0.5
2021-01-28,Thursday,402,493,428,6.4,0,0,0,1,19.2,5.34
2021-01-29,Friday,710,646,593,6.52,0,0,0,0,32.1,5.62
2021-01-30,Saturday,624,632,561,6.08,0,0,0,0,29.1,6.71
2021-01-31,Sunday,208,215,195,1.28,0,0,0,0,38.5,2.48
2021-02-01,Monday,660,746,653,5.07,1,0,1,0,28.0,8.9
2021-02-02,Tuesday,625,680,596,11.23,0,0,0,0,28.0,7.98
2021-02-03,Wednesday,339,342,306,1.94,1,0,0,0,32.4,5.84
2021-02-04,Thursday,712,713,621,4.63,0,0,0,0,28.3,8.39
2021-02-05,Friday,716,750,684,5.57,1,0,0,0,30.4,5.51
2021-02-06,Saturday,393,409,352,7.11,1,0,0,0,34.0,8.22
2021-02-07,Sunday,654,698,616,10.0,0,0,0,0,27.7,7.33
2021-02-08,Monday,280,280,259,3.27,0,0,0,0,35.0,4.81
2021-02-09,Tuesday,634,630,556,6.16,1,0,0,0,20.6,7.91
2021-02-10,Wednesday,796,708,645,3.65,0,0,0,0,37.0,4.02
2021-02-11,Thursday,170,56,40,5.34,1,1,0,0,20.1,5.58
2021-02-12,Friday,316,323,281,4.68,1,0,0,0,35.8,8.22
2021-02-13,Saturday,423,372,361,3.04,1,0,0,0,19.7,0.5
2021-02-14,Sunday,537,500,446,6.25,0,0,0,0,38.9,6.63
2021-02-15,Monday,750,702,641,6.4,0,0,0,0,29.8,6.4
2021-02-16,Tuesday,465,534,467,5.93,0,0,1,0,24.3,5.97
2021-02-17,Wednesday,163,187,158,6.47,0,0,1,0,38.3,6.41
2021-02-18,Thursday,391,390,351,1.76,1,0,1,0,23.6,1.69
2021-02-19,Friday,495,474,429,5.36,1,0,0,0,27.9,7.49
2021-02-20,Saturday,714,682,611,7.14,0,0,0,0,42.0,8.74
2021-02-21,Sunday,489,468,446,2.97,1,0,0,0,31.0,5.12
2021-02-22,Monday,241,251,232,4.65,0,0,0,1,18.9,4.04
2021-02-23,Tuesday,516,506,469,5.73,0,0,0,0,27.6,3.97
